Place,City,Overall,,Food,Value for Money,Service,Ambiance,Vegan Options,Category,Cuisine,Note
R Thomas Deluxe Grille,Atlanta,5.48,,5.5,3,5,5,6,Food,American,Mid Food exorbitant pricing :\
Ahn's Kitchen,Atlanta,5.27,,5,6,3,5,10,Food,Vietnamese,
Tuk Tuk,Atlanta,5.25,,5,3,4,5,10,Food,Thai,
Snooze,Atlanta,5.18,,5,6,6,7,7,Food,Brunch,Pretty terrible food. Unspiced
Vegan vs Fries,Atlanta,5.17,,5,4,4,1,10,Food,American,Food truck that served mid food at mid quality
Asian Vegan Kitchen,Atlanta,5.15,,5,3,3,1,10,Food,Asian,Middiest Mid food I've ever had. Huge portions though
Silverlake Ramen,Atlanta,5.00,,5,4,6,5,5,Food,Japanese,Mid ramen unless you dump 100 gallons of sriracha in the broth
Estrella Taqueria,San Francisco,4.98,,5,8,8,1,5,Food,Mexican,Not really a great burrito but its food and a very low price point. The tofu was soggy and not delectible but its alright. They tossed in some free chips as well. Those were solid
Sankranti,Atlanta,4.81,,5,6,6,3,2,Food,Indian,"Indian chipotle. the samosa is good, the rest is mid"
Takorea Del Sol,Atlanta,4.37,,4,5,4,5,10,Food,Mexican,
E & O Kitchen and Bar,San Francisco,4.37,,4.5,2,8,7,1,Food,American,Small portion exorbitant prices and some of worst food i've had at this price point
Bakaris Plant Pizza,Atlanta,4.36,,4,2,8,4,10,Food,Pizza,"Terrible pizza, don't go here anymore"
So Kong Dong,Atlanta,4.10,,4,5,3,6,5,Food,Korean,Tofu soup place. Kinda average taste
Shoya,Atlanta,4.09,,4,5,4,5,5,Food,Japanese,I went when i was sick but they gave me hot water. The food was meh
Which Which,Atlanta,3.52,,3,9,8,3,10,Food,American,
Taco Bell,Atlanta,3.47,,3,9,8,1,10,Food,Taco,
Citrus Club,San Francisco,3.11,,3,3,3,3,5,Food,Thai,"Mega ass, the creamy flavor in my dish was kinda sour. I literally couldn't finish it. don't go back lol"
Urban Wings,Atlanta,2.93,,3,2,6,4,1,Food,Wings,I hated these. Got the nashville hot flavor which i realized wasn't vegan until it was too late. I wonder if that affected the taste
White Noise,New York,2.58,,2,2,8,5,10,Drink,Cafe,poopoo coffee
Envegan,Atlanta,2.55,,2,5,6,3,10,Food,American,Highkey terrible food lol
Grass VBQ,Atlanta,2.52,,2,3,5,3,10,Food,Burger,Mouth would be drenched in oil after a bite
Potions,Hawaii,1.00,,1,1,1,1,1,Food,"""Indian""",let the ratings speak for itself
