Place,City,Overall,,Food,Value for Money,Service,Ambiance,Vegan Options,Category,Cuisine,Note
Joyride Pizza,San Francisco,8.47,,8.5,6,7,8,9,Food,Pizza,Fantastic pizza. It had so much depth! Only tried one flavor so far so the others may be even better. I have high hopes.
Highland Creamery,Atlanta,8.46,,9,7,8,4,2,Dessert,Ice cream,Fantastic rolled ice cream. worth the price
La Venganza,San Francisco,8.39,,8.4,7.5,7.5,5,10,Food,Mexican,Fully Vegan mexican place. Had prolly some of the best vegan meat i've had. Wish the salsa was spicier tho
Dishoom,London,8.39,,8.5,9.5,9,9,6,Food,Indian,10/10 Chai with awesome meals. I def over ordered but it was well worth it. Chole was above average but the rest of the meal was top notch
Urban Hai,Atlanta,8.38,,8.75,7,7,6,4,Food,Chinese,Not too much of a selection but the mapo tofu was fantastic
Bad Gyal Vegan,Atlanta,8.38,,8.4,7,7,5,10,Food,Burger,"The chicken sandwhich was phenomenal, better than slutty vegan"
Tony's Pizza,San Francisco,8.38,,8.5,4,8,7,8,Food,Pizza,Awesome pizza but could use more. I want to try the detroit style. I guess for the price i'd expect a lot more pizza lol
Delarosa,San Francisco,8.37,,8.4,6,6,8,9,Food,Pizza,Its on par with double zero. First place to have some great vegan pizza
Ammazza,Atlanta,8.36,,8.5,4,8,6,8,Food,Pizza,"Truly Solid Pizza, probs the best vegan one"
Mamoun's Felafel,Atlanta,8.35,,8.5,9,6,4,8,Food,Mediterranean,Cute little restaurant with good mediterranean food
Vegan Wangs,Atlanta,8.33,,8.5,3,6,1,10,Food,American,"Incredible wings, terrible quantity for the price"
Bay of Burma,San Francisco,8.31,,8.5,8,8,7,6,Food,Burmese,Not too many vegan options but damn are they good. Got the humble vegan. Wasn't a fan of the texture at first but it grew on me and I loved the taste the whole time
Om Indian Cuisine,San Francisco,8.27,,8.4,8,8,4,8,Food,Indian,Some of the most scrumptious chole I've had. Was spiced well. The poori could have afforded to lose half of its oil
Vaca,Chicago,8.26,,8.4,5,4,2,10,Dessert,Ice Cream,"Kinda expensive but cmon for an all vegan creamery, I'll allow it. The cookie dough wasn't that great unfortunately but the ice cream itself was really good!"
Hook and Press,Santa Barbara,8.25,,8.5,3,7,7,6,Dessert,Donut,Surprising amount of vegan donuts. All were great!
Square Pie Guys,San Francisco,8.25,,8.6,6,6,7,4,Food,Pizza,Detroit style pizza seems to be the only thing they have in SF lmao but its really good! Honestly better than joyride. They only have one option but its better than what i've tried at joyride
Happy Camper Pizza,Chicago,8.19,,8.75,7,7,5,1,Food,Pizza,"Ordered some of the best pizza takeout. was still hot, cheese was still gooey :p A little expensive tho"
Kanishka,Seattle,8.19,,8.2,7,8,9,8,Food,Indian,"Very high quality food! Appitizer was banging, saag paneer smelled great, my aloo bobi was really good! really oily but still totally fine. The roti was very mid unfortunately. Only L"
Biet Rima,San Francisco,8.17,,8.5,9,6,6,4,Food,Arabic,"The potatoes were fantastic. On top of that I got some felafel, also really well done"
The Grove,San Francisco,8.17,,8.3,8,5,5,8,Food,Mediterranean,"The sandwich was great, good flavors but there's not much content. I wish there was some sort of fake meat. "
Curry and Kebab,San Francisco,8.16,,8.4,7,7,5,6,Food,Indian,"Surprisingly, the best indian place in SF so far. The chole was spiced well and the roti was huge"
Jinya Ramen,Atlanta,8.15,,8.5,7,6.5,6,4,Food,Japanese,Best vegan ramen in atl. No cap
Fin Thai,San Francisco,8.13,,8.4,7,6,7,5,Food,Thai,Looks like a new place. Kind of expensive but the food was really good. Would happily go out of my way to come again
My Pi Pizza,Chicago,8.13,,8.3,6,8,3,8,Food,Pizza,The cheese was actually really well done. Unfortunately I think my stomach wasn't having it so I don't think I can accurately rate this place lmao
Blaze Pizza,Atlanta,8.09,,8,10,8,6,10,Food,Pizza,"Honestly, very surprised they had vegan pizza for this cheap here. :))) Very happy with it"
Surina Thai,Atlanta,8.08,,8,7,8,7,10,Food,Thai,Fried rice was an average fried rice which automatically puts it at a 7
Mercury Cafe,San Francisco,8.07,,8,8,8,6,10,Drink,Cafe,Very solid coffee! 6.5 for the large latte. The vibes are aight 
Harmony,Atlanta,8.06,,8,10,7,5,10,Food,Chinese,"Fantastic portions, Fantastic food, fantastic everything"
Golda Kombucha,Atlanta,8.06,,8,8,7,6,10,Drink,American,Kombucha is great
Trisara,San Francisco,8.06,,8.2,7,6,4,8,Food,Indian,Split the aloo gobi and chana masala with Prerak. The food was kinda sweet but really flavorful nonetheless. Good price as well. Will go back. Also just get medium spicy. TS was hotttt
Peacock Pansy,San Francisco,8.04,,8,7.5,7,8,9,Food,Brunch,Honestly great restaurant. 
Roti Indian Bistro,San Francisco,8.03,,8.3,7,6,4,6,Food,Indian,Really good poori and chole. it was a little undercooked but the potential is there
Sunflower Cafe,Atlanta,8.02,,8,5,7,6,10,Food,American,Nearly everything here is really good!
Lion King Sushi,San Francisco,8.02,,8,6,4,7,10,Food,Sushi,"Its got some great options, just don't get the one with honey mustard. Half vegan menu!!!"
Calevaritas,Atlanta,8.01,,8,7,6,5,10,Food,Mexican,Fully Plant based mexican restaurant. Its only got a few options but theyre pretty good
Julia's Vegetarian,Monetey,7.99,,8,6,5,5,10,Food,American,Got the huevo ranchero. Those potatoes and rice were really well seasoned. The rest was good but nothing that stood out. Would happily come here again. Prerak got the yellow curry and said it was mid so be warned
Bar Vegan,Atlanta,7.98,,8,4,6,5,10,Food,American,Onion rings were but hella overpriced
Chat Patti,Atlanta,7.97,,8,10,5,2,10,Food,Indian Street,Wholly vegetarian
Yang Ming Spring,Taipei,7.97,,7.9,9,8,5,10,Food,Korean,I say korean but there were so many different options on the menu. The food tasted really good and deservs a higher rating but the quality was kinda mid. Idk how they did it. Like I'd love to go again and again but by the end of one meal i'm like its aight.
Slutty Vegan,Atlanta,7.97,,8,6,5,4,10,Food,Burger,Really good burgers!
La Taqueria,San Francisco,7.93,,8.3,8,6,4,4,Food,Mexican,Not many options but somehow the slim options in the place were really good. Got the burrito. Get it toasted for sureeee
Himalayan Cuisine,San Francisco,7.92,,7.9,8,8,6,9,Food,Indian,Himalayan-Indo cuisine. The okra was kinda undercooked but the flavor was great. I think the rating will improve after trying others
Taco Boys,San Francisco,7.89,,8,7,4,3,9,Food,Mexican,The philly cheesesteak was soooo goooood. Only drawback was how I felt afterwards lmfao
Tacos Oscar,Oakland,7.88,,8.2,6,4,5,5,Food ,Mexican,I was very happy with the burrito I got! No complaints
Zareen's,Palo Alto,7.87,,8,8,10,6,6,Food,Indian,Poori Masala was awesome. Not oily but had a good amount. Waited 30 minutes for it but got an extra one bc of the delay :D
Megan's in the Village,London,7.85,,8,7,6,8,6,Food,Brunch,Typical Instagrammable brunch place. The food was very good!
Osha BBQ,San Francisco,7.84,,8.1,6,8,5.5,5,Food,Thai,It just seems like you can't mess up on Thai food. It was a little watery but the flavor was really good. I was very satisfied
Sumac,San Francisco,7.83,,8,7,6,2,8,Food,Mediterranean,Little hole in the wall with 3 other restaurant. The veggies were sooooo fresh. Felafel itself was good but not amaizng
Oren's Hummus,San Francisco,7.81,,8,7,6,6,6,Food,Israeli,"Solid place, they have some vegan lamb, tastes good! but just like any other fake meat lol"
Yummy Thai,Santa Barbara,7.80,,7.9,8,6,4,8,Food,Thai,Surprisingly good food for how cheap it was and how the place looked. The fried rice was well spiced
Cocina Mama Cholita,San Francisco,7.78,,8.2,6,10,5,2,Food,Mexican,"I will say, I was surprised. The atmosphere gave backroom kitchens and I've been to similar looking restaurants in the mission and they were pretty mids (I assume their meat options would be better). This one did not disappoint. I got the Tomato Enchilada (only vegan thing on the menu). When the tortilla chips came out and the salsa was banging, I knew the place would be great. The rice was flavorful, the mushroom ""curry"" in the enchilada was high quality and gerat salsa led to a really good dish. would come again"
Kin no Tori,Atlanta,7.76,,8,6,8,6,5,Food,Japanese,Solid Ramen but very pricey! Had to get exta chili oil.
Pio's,New York,7.74,,8,9,9,3,5,Food,Bagel,
Bismillah,Atlanta,7.73,,8,9,7,1,6,Food,Bangladeshi,"Great rice and drinks, will have to test out the rest of their menu"
Poppy Seed Bagel,Oakland,7.72,,8,6,6,5,5,Food,Bagel,Honestly pretty good. One vegan cream cheese but it was solid. The add ons were pricey but worth the cost imo. Would happily go again
Ocean Beach Cafe,San Francisco,7.71,,8,7,7,6,4,Food,American,"Got a wrap, it was actually fire. So much flavor. Lots of items in the wrap itself"
El Rey Del Taco,Atlanta,7.70,,8,6,7,6,4,Food,Mexican,Mushroom burrito is delicious. lots of mushrooms
The Bite,San Francisco,7.66,,8,7,5,5,4,Food,Mediterranean,Not much quantity for the price but the quality was really good. Felafel was one of the best i've had
Velvet Taco,Atlanta,7.65,,8,6,5,5,4,Food,Taco,
Karahi House,San Francisco,7.65,,7.7,8,6,3,9,Food,Indian,Solid! The flavor was good and everything was cooked well. I got the aloo gobi since the chole was out of stock lol. I would go back!
Pizzeria Delfina,San Francisco,7.65,,8.1,6,7,5,2,Food,Pizza,Solid crust and the mushrooms were really good! Unfortunately they made it vegan by just not including any cheese lol. Loses rating bc of that
Udupi Palace,San Francisco,7.63,,7.6,7,6,4,10,Food,Indian,"Highkey solid food! The dosa was good, the sambhar was banging and the chutney was tryna hang but not bad. The downside was the vada. Not great. Get the rava dosa if you go again"
Nepa Indian Cuisine,San Francisco,7.63,,7.8,7,6,6,6,Food,Indian,"It was solid! Good flavor, would go again"
Dua Vietnamese,Atlanta,7.61,,8,7,7,4,3,Food,Vietnamese,"They really know how to cook their tofu. Wish they used veggie broth instead of beef broth though, would open up more options"
The Mill,San Francisco,7.61,,7.5,7,6,7,10,Drink,Cafe,Cappucino was good but not great. Same for the avocado toast. Not great for the price but i'd eat here again
Chaat Corner,San Francisco,7.61,,7.8,7,6,5,6,Food,Indian,Honestly great dosa. Will be back. Chutney dropped this from 8+ - sucks
Rule of Thirds,New York,7.61,,8,5,6,8,2,Food,Japanese,Not too many vegan options but the things I had were very good
P.S. Kitchen,New York,7.61,,7.5,5,8,7,10,Food,American,
China Live,San Francisco,7.60,,7.5,8,7,8,9,Food,Chinese,The restaurant was packed with great staff which led to a great atmosphere overall
Dancing Goats,Atlanta,7.57,,7.5,6,8,5,10,Drink,Cafe,"Decent coffee, lowkey awful price tho"
Jajaja,New York,7.55,,7.5,6,6,5,10,Food,Mexican,
Enjoy Vegetarian,San Francisco,7.54,,7.5,5,6,5,10,Food,Chinese,"Fully vegan chinese place! If you don't get the orange chicken, this place gets close to the one in atl lol"
The Naked Bar,Atlanta,7.53,,7.5,6,8,3,10,Dessert,American,Cute little dessert place. The sample cookie cheesecake i tried was bomb but they were out
Beatnic,New York,7.53,,7.5,6,6,4,10,Food,Burger,
Handlebar,Chicago,7.53,,7.6,6,6,5,8,Food,Brunch,Wasn't too expensive and had a solid vegan selection! Don't get the mac lol but the french toast was really good
Opart Thai,Chicago,7.52,,7.5,5,7,6,9,Food,Thai,Good food but only above average for a thai restaurant
Nakama Sushi,San Francisco,7.52,,7.5,7,8,7,8,Food,Sushi,Cute little spot tucked away in civic center. Ambiance was solid and the service was welcoming. Would come here again
Plants,Taipei,7.51,,7.4,7,7,6,10,Food,American,I think the dish I got was kinda weird and brought down the rating of a restaurant I would have thought to have better food. Decent meal overall
Little Star Pizza,San Francisco,7.51,,7.5,7,6,5,9,Food,Pizza,typical looking pizzaria with above average food. cucumbers were too much but the food was solid
Ike Sandwhich,San Francisco,7.51,,7.5,7,8,4,9,Food,Sandwhich,Honestly one of the better sandwhiches i've had. Top it off with so many vegan meats and options. I'm in love. Will be back often
Imperial Garden Seafood,San Francisco,7.46,,7.4,6,8,4,10,Food,Chinese,Full vegan menu! The options were good not great though. Satisfied for sure
Bageletto,San Francisco,7.46,,7.5,6,7,3,9,Food,Bagel,"Great not excellent bagel, Don't get the carmelzed onions next time. Its a lot more sour than you like"
